Variable_Name,Variable_Category,Definition,Unit_of_Measurement,Data_Source,Time_Coverage,Field_Type,Calculation_Notes,Observations,Mean,Standard_Deviation,Minimum,25%,50%,75%,Maximum,Missing_Rate
Personal_ASB,Crime and Anti-social Behaviour,Reported personal anti-social behaviour incidents,Number of incidents per LTLA,Crime Survey for England and Wales,2024,Newly_Created,The different police districts have been summarized and aggregated to the local government level of LTLA.,271,560.5129151,702.4524386,3,184.5,347,702.5,7324,12.30%
Total_recorded_crime_(excluding_fraud),Crime and Anti-social Behaviour,Total police recorded crimes (excluding fraud),Number of crimes per LTLA,Police Force Area crime statistics,2024,Newly_Created,The different police districts have been summarized and aggregated to the local government level of LTLA.,272,17464.88235,16439.00369,71,7315.25,11930.5,24147,140008,11.97%
Violence_against_the_person,Crime and Anti-social Behaviour,Police recorded violent crimes against individuals,Number of crimes per LTLA,Police Force Area crime statistics,2024,Newly_Created,The different police districts have been summarized and aggregated to the local government level of LTLA.,272,6494.334559,6023.015811,29,2787.75,4625.5,8388.75,57655,11.97%
Agricultural_and_Rural,Land Use and Urban Environment,Proportion of area classified as agricultural or rural land use,Ratio (0-1 scale),OpenStreetMap data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,0.377589434,0.256028241,0,0.159429288,0.327371879,0.586743149,0.955527302,0.00%
Natural_Ecological_and_Public,Land Use and Urban Environment,"Proportion of area designated as natural, ecological or public spaces",Ratio (0-1 scale),OpenStreetMap data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,0.327836242,0.191359775,0.009411141,0.194962227,0.27821084,0.406030592,0.932948157,0.00%
Residential_and_Commercial,Land Use and Urban Environment,Proportion of area used for residential and commercial purposes,Ratio (0-1 scale),OpenStreetMap data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,0.294204323,0.227524186,0.007064995,0.094786505,0.216186921,0.483787834,0.971746865,0.00%
Accommodation_Food_POI,Points of Interest (Service Accessibility),Number of accommodation and food service establishments,Number of establishments per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,289.6634304,282.6344123,12,129,200,342,2191,0.00%
Arts_Recreation_POI,Points of Interest (Service Accessibility),"Number of arts, entertainment and recreation facilities",Number of facilities per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,166.6925566,163.5110882,8,71,121,196,1217,0.00%
Financial_Institutions_POI,Points of Interest (Service Accessibility),"Number of banks, credit unions and other financial services",Number of institutions per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,38.52750809,32.30008525,0,18,29,49,257,0.00%
Healthcare_Centers_POI,Points of Interest (Service Accessibility),Number of healthcare facilities and medical services,Number of centers per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,52.99029126,44.37359732,1,26,37,69,319,0.00%
Information_Communication_POI,Points of Interest (Service Accessibility),Number of information and communication service providers,Number of services per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,435.618123,358.5563086,24,211,347,518,2812,0.00%
OtherPOI,Points of Interest (Service Accessibility),Number of other points of interest not classified elsewhere,Number of POIs per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,702.3592233,711.2823045,34,298,505,879,5692,0.00%
Personal_Household_Svcs_POI,Points of Interest (Service Accessibility),Number of personal care and household service providers,Number of services per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,82.81877023,80.89033484,0,31,53,111,557,0.00%
Retail_POI,Points of Interest (Service Accessibility),Number of retail shops and commercial establishments,Number of establishments per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,198.0906149,189.3843534,7,89,133,248,1570,0.00%
Transportation_Facilities_POI,Points of Interest (Service Accessibility),Number of transportation hubs and related infrastructure,Number of facilities per LTLA,OpenStreetMap POI data via Geofabrik,Current data2025,Newly_Created,Summarize by category,309,22.91585761,44.70392543,0,3,7,20,363,0.00%
