geography code,Household composition: Total; measures: Value,Household composition: One person household; measures: Value,Household composition: One person household: Aged 66 years and over; measures: Value,Household composition: One person household: Other; measures: Value,Household composition: Single family household; measures: Value,Household composition: Single family household: All aged 66 years and over; measures: Value,Household composition: Single family household: Married or civil partnership couple; measures: Value,Household composition: Single family household: Married or civil partnership couple: No children; measures: Value,Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value,Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,Household composition: Single family household: Cohabiting couple family; measures: Value,Household composition: Single family household: Cohabiting couple family: No children; measures: Value,Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value,Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value,Household composition: Single family household: Lone parent family; measures: Value,Household composition: Single family household: Lone parent family: With dependent children; measures: Value,Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value,Household composition: Single family household: Other single family household; measures: Value,Household composition: Single family household: Other single family household: Other family composition; measures: Value,Household composition: Other household types; measures: Value,Household composition: Other household types: With dependent children; measures: Value,"Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value",Population Density: Persons per square kilometre; measures: Value,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups,Proficiency in English language: Total: All usual residents aged 3 years and over,Proficiency in English language: Main language is English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English,language_fluency,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,education,Local authority name,Year ending Dec 2022,Name,Geography,Mid-2022,Mid-2011
E06000011,152063.0,45678.0,24320.0,21358.0,101052.0,21531.0,48983.0,21298.0,19102.0,8583.0,17249.0,9152.0,7073.0,1024.0,12765.0,7934.0,4831.0,524.0,524.0,5333.0,2292.0,3041.0,142.4,152066.0,45678.0,100603.0,801.0,4098.0,886.0,0.038042692,333816.0,326484.0,7332.0,3155.0,2581.0,1353.0,243.0,0.995218923,342215.0,153547.0,121117.0,49161.0,14088.0,4302.0,0.946261853,152066.0,69541.0,55234.0,25390.0,1735.0,166.0,0.820531874,288140.0,52477.0,28930.0,40565.0,20621.0,49602.0,87851.0,8094.0,0.817876727,East Riding of Yorkshire,"221,500",East Riding of Yorkshire,Unitary Authority,"346,309","334,673"
E06000012,69826.0,22718.0,10030.0,12688.0,44064.0,6979.0,18959.0,8112.0,7128.0,3719.0,9080.0,4129.0,4326.0,625.0,8638.0,6016.0,2622.0,408.0,408.0,3044.0,1342.0,1702.0,815.0,69826.0,22718.0,44528.0,460.0,1524.0,596.0,0.036948987,152057.0,146176.0,5881.0,1962.0,2501.0,1287.0,131.0,0.99067455,156966.0,67586.0,54939.0,24237.0,7911.0,2293.0,0.934992291,69826.0,29021.0,24686.0,14870.0,1133.0,116.0,0.769154756,127523.0,30907.0,15531.0,20513.0,8313.0,20885.0,27537.0,3837.0,0.757635877,North East Lincolnshire,"160,000",North East Lincolnshire,Unitary Authority,"157,754","159,735"
E06000013,73173.0,21366.0,10309.0,11057.0,48217.0,8263.0,22583.0,9650.0,8756.0,4177.0,9530.0,4569.0,4296.0,665.0,7438.0,4758.0,2680.0,403.0,403.0,3590.0,1602.0,1988.0,200.4,73173.0,21366.0,48442.0,546.0,2044.0,775.0,0.045986908,164787.0,154264.0,10523.0,3354.0,4419.0,2396.0,354.0,0.98331179,169680.0,72786.0,60954.0,25702.0,8003.0,2235.0,0.939662895,73173.0,32097.0,25678.0,13897.0,1275.0,226.0,0.78956719,139467.0,30466.0,16292.0,21104.0,9922.0,23954.0,33361.0,4368.0,0.781554059,North Lincolnshire,"170,000",North Lincolnshire,Unitary Authority,"170,042","167,516"
E06000014,85458.0,26640.0,11607.0,15033.0,52338.0,8619.0,25219.0,9659.0,11646.0,3914.0,10650.0,6786.0,3355.0,509.0,7340.0,4538.0,2802.0,510.0,510.0,6480.0,1115.0,5365.0,745.8,85459.0,26640.0,51471.0,763.0,4287.0,2298.0,0.085982752,197734.0,187680.0,10054.0,5176.0,3620.0,1147.0,111.0,0.993637918,202821.0,98610.0,71033.0,24604.0,6788.0,1786.0,0.957726271,85459.0,32613.0,30836.0,20430.0,1445.0,135.0,0.742449596,172083.0,22953.0,12802.0,19552.0,9032.0,37410.0,66749.0,3585.0,0.866616691,York,"300,000",York,Unitary Authority,"204,551","197,783"
E06000015,105653.0,33054.0,13019.0,20035.0,64890.0,8427.0,30480.0,9917.0,14882.0,5681.0,12472.0,6544.0,5148.0,780.0,12460.0,7850.0,4610.0,1051.0,1051.0,7709.0,3435.0,4274.0,3349.5,105652.0,33054.0,61786.0,2323.0,5562.0,2927.0,0.102335971,252288.0,219616.0,32672.0,12624.0,11811.0,6781.0,1456.0,0.967350805,261364.0,119809.0,90551.0,35857.0,11542.0,3605.0,0.942046342,105652.0,35239.0,36442.0,28700.0,3950.0,1321.0,0.678463257,209189.0,42141.0,21586.0,27706.0,13064.0,36230.0,62097.0,6365.0,0.798550593,Derby,"200,000",Derby,Unitary Authority,"263,490","248,943"
E06000016,127388.0,35173.0,11871.0,23302.0,75604.0,6093.0,39969.0,9143.0,22376.0,8450.0,11372.0,5707.0,4753.0,912.0,16447.0,9828.0,6619.0,1723.0,1723.0,16611.0,8446.0,8165.0,5027.2,127388.0,35173.0,76004.0,3505.0,7247.0,5459.0,0.127256884,355572.0,248771.0,106801.0,36216.0,38545.0,24541.0,7499.0,0.909891668,368571.0,179719.0,123425.0,46156.0,14749.0,4522.0,0.94771428,127388.0,30314.0,36177.0,45144.0,11677.0,4076.0,0.521956542,291013.0,77692.0,31152.0,33954.0,11024.0,46860.0,77900.0,12431.0,0.733029109,Leicester,"230,000",Leicester,Unitary Authority,"373,399","329,627"
E06000017,16696.0,4786.0,2589.0,2197.0,11320.0,2654.0,5854.0,2350.0,2585.0,919.0,1600.0,950.0,560.0,90.0,1169.0,712.0,457.0,43.0,43.0,590.0,223.0,367.0,107.5,16694.0,4786.0,10826.0,113.0,834.0,135.0,0.064813706,40158.0,39386.0,772.0,460.0,212.0,90.0,10.0,0.997509836,41049.0,20666.0,14063.0,4869.0,1169.0,282.0,0.964652001,16694.0,9049.0,5117.0,2363.0,148.0,17.0,0.848568348,34300.0,4491.0,2953.0,5278.0,1936.0,5835.0,13012.0,795.0,0.869067055,Rutland,"319,250",Rutland,Unitary Authority,"41,151","37,581"
E06000018,124745.0,41971.0,13512.0,28459.0,68295.0,6104.0,28615.0,9457.0,14308.0,4850.0,14906.0,8448.0,5502.0,956.0,17045.0,11449.0,5596.0,1625.0,1625.0,14479.0,3997.0,10482.0,4337.6,124745.0,41971.0,63535.0,4162.0,7751.0,7326.0,0.154226622,313270.0,268420.0,44850.0,18434.0,16945.0,8092.0,1379.0,0.969767293,323632.0,153956.0,108292.0,41863.0,14787.0,4734.0,0.93968149,124745.0,34257.0,41549.0,41406.0,6147.0,1386.0,0.607687683,264322.0,51554.0,23096.0,29844.0,10835.0,66236.0,75673.0,7084.0,0.80495759,Nottingham,"182,500",Nottingham,Unitary Authority,"328,513","303,899"
E06000019,82824.0,25434.0,12919.0,12515.0,53433.0,11052.0,25781.0,10769.0,10250.0,4762.0,8902.0,4850.0,3478.0,574.0,7318.0,4361.0,2957.0,380.0,380.0,3957.0,1531.0,2426.0,85.8,82828.0,25434.0,52758.0,690.0,3018.0,928.0,0.055971411,182163.0,173475.0,8688.0,3345.0,3514.0,1551.0,278.0,0.989959542,187034.0,85521.0,65655.0,26040.0,7641.0,2177.0,0.94750687,82827.0,37669.0,25985.0,17702.0,1335.0,136.0,0.768517512,157133.0,28315.0,14982.0,22184.0,9258.0,26573.0,51420.0,4401.0,0.819802333,"Herefordshire, County of","289,950","Herefordshire, County of",Unitary Authority,"188,719","183,619"
E06000020,76510.0,21205.0,9048.0,12157.0,50746.0,6968.0,23741.0,8824.0,10524.0,4393.0,10409.0,5164.0,4572.0,673.0,9136.0,5973.0,3163.0,492.0,492.0,4559.0,1910.0,2649.0,639.1,76510.0,21205.0,49730.0,1133.0,3110.0,1332.0,0.072866292,179310.0,167409.0,11901.0,4729.0,4723.0,2097.0,352.0,0.986342089,185541.0,85273.0,63231.0,25683.0,8812.0,2542.0,0.938805978,76510.0,30624.0,26980.0,16968.0,1669.0,269.0,0.752895046,148673.0,29666.0,16732.0,23218.0,8212.0,27765.0,38803.0,4277.0,0.800461415,Telford and Wrekin,"226,000",Telford and Wrekin,Unitary Authority,"188,871","166,831"
E06000021,110400.0,36179.0,14225.0,21954.0,68454.0,8647.0,29954.0,11087.0,13363.0,5504.0,14757.0,7144.0,6717.0,896.0,14209.0,9522.0,4687.0,887.0,887.0,5767.0,2475.0,3292.0,2764.8,110400.0,36179.0,67554.0,1532.0,3211.0,1924.0,0.060389493,248992.0,227019.0,21973.0,8124.0,9009.0,4166.0,674.0,0.980561624,258369.0,110241.0,90840.0,38276.0,14546.0,4466.0,0.926415321,110400.0,29987.0,44280.0,31349.0,4125.0,659.0,0.672708333,205898.0,53354.0,22574.0,30443.0,14144.0,34678.0,44948.0,5757.0,0.740871694,Stoke-on-Trent,"140,000",Stoke-on-Trent,Unitary Authority,"259,965","248,719"
E06000022,79250.0,23077.0,10781.0,12296.0,49584.0,8279.0,24740.0,8502.0,11872.0,4366.0,9278.0,5599.0,3214.0,465.0,6763.0,4088.0,2675.0,524.0,524.0,6589.0,1231.0,5358.0,559.2,79250.0,23077.0,47283.0,948.0,5182.0,2760.0,0.112176656,188178.0,178953.0,9225.0,5498.0,2793.0,783.0,151.0,0.995036614,193409.0,100186.0,63514.0,21853.0,6121.0,1735.0,0.959381415,79250.0,32037.0,25309.0,20184.0,1570.0,150.0,0.723608833,161618.0,19805.0,11972.0,19147.0,7608.0,35318.0,64251.0,3517.0,0.877457956,Bath and North East Somerset,"386,675",Bath and North East Somerset,Unitary Authority,"195,618","175,538"
E06000023,191638.0,57862.0,19697.0,38165.0,110132.0,10952.0,48404.0,15274.0,25372.0,7758.0,28890.0,19251.0,8445.0,1194.0,19819.0,12683.0,7136.0,2067.0,2067.0,23644.0,4608.0,19036.0,4308.1,191638.0,57862.0,103612.0,4085.0,15366.0,10713.0,0.157400933,456938.0,410701.0,46237.0,22748.0,16342.0,6195.0,952.0,0.984358928,472465.0,240060.0,154643.0,54311.0,18032.0,5419.0,0.950364577,191637.0,54309.0,61747.0,65897.0,8076.0,1608.0,0.605603302,389708.0,56657.0,29350.0,41789.0,15282.0,73981.0,164106.0,8543.0,0.85461679,"Bristol, City of","335,000","Bristol, City of",Unitary Authority,"479,024","428,074"
E06000024,94648.0,29089.0,14451.0,14638.0,61026.0,11995.0,29709.0,10802.0,13892.0,5015.0,10513.0,5770.0,4162.0,581.0,8426.0,5468.0,2958.0,383.0,383.0,4533.0,1727.0,2806.0,579.9,94649.0,29090.0,59068.0,953.0,4376.0,1162.0,0.0685797,210519.0,202255.0,8264.0,3948.0,3099.0,1035.0,182.0,0.994219049,216727.0,103098.0,73421.0,28789.0,8897.0,2522.0,0.947311595,94648.0,40299.0,32456.0,20197.0,1542.0,154.0,0.768690305,178567.0,26615.0,17219.0,26482.0,10668.0,32377.0,60489.0,4717.0,0.850952304,North Somerset,"319,995",North Somerset,Unitary Authority,"219,145","203,091"
E06000025,118101.0,30747.0,14375.0,16372.0,80156.0,12635.0,40524.0,13233.0,19480.0,7811.0,15239.0,8633.0,5712.0,894.0,11102.0,6955.0,4147.0,656.0,656.0,7198.0,2368.0,4830.0,584.3,118101.0,30747.0,77231.0,1593.0,6139.0,2391.0,0.08571477,280905.0,265801.0,15104.0,7835.0,5161.0,1829.0,279.0,0.992495684,290424.0,144395.0,99207.0,34595.0,9529.0,2698.0,0.957899485,118101.0,51532.0,38504.0,25456.0,2327.0,282.0,0.762364417,237364.0,33792.0,23996.0,33959.0,15142.0,46440.0,78233.0,5802.0,0.857636373,South Gloucestershire,"335,000",South Gloucestershire,Unitary Authority,"294,765","263,417"
E06000026,114560.0,37337.0,15083.0,22254.0,69889.0,9997.0,31422.0,12129.0,13830.0,5463.0,15119.0,8234.0,6043.0,842.0,12706.0,8153.0,4553.0,645.0,645.0,7334.0,2059.0,5275.0,3314.8,114558.0,37338.0,69938.0,1034.0,4130.0,2118.0,0.063566054,256934.0,245374.0,11560.0,5556.0,4188.0,1569.0,247.0,0.992932037,264695.0,121117.0,89371.0,37196.0,13109.0,3902.0,0.93573358,114557.0,36516.0,40333.0,34668.0,2779.0,261.0,0.670836352,218624.0,37894.0,21388.0,30727.0,15836.0,47362.0,60155.0,5262.0,0.826670448,Plymouth,"215,000",Plymouth,Unitary Authority,"266,862","256,589"
E06000027,62997.0,21884.0,11086.0,10798.0,37376.0,7636.0,16284.0,6956.0,6270.0,3058.0,6725.0,3531.0,2757.0,437.0,6417.0,3971.0,2446.0,314.0,314.0,3737.0,1426.0,2311.0,2215.6,62994.0,21883.0,37400.0,556.0,2329.0,826.0,0.058910372,135817.0,131835.0,3982.0,1948.0,1461.0,489.0,84.0,0.995781088,139324.0,58842.0,47697.0,22578.0,7894.0,2313.0,0.926739112,62994.0,20756.0,22943.0,17779.0,1348.0,168.0,0.693700987,117032.0,23137.0,13696.0,18096.0,8688.0,20227.0,29628.0,3560.0,0.802301935,Torbay,"250,000",Torbay,Unitary Authority,"139,479","131,193"
E06000030,95861.0,27218.0,10546.0,16672.0,62195.0,7777.0,32304.0,10851.0,15932.0,5521.0,11736.0,6378.0,4679.0,679.0,9700.0,6273.0,3427.0,678.0,678.0,6448.0,3089.0,3359.0,1014.4,95861.0,27219.0,59094.0,1660.0,5767.0,2121.0,0.09960255,225532.0,202988.0,22544.0,10415.0,8117.0,3322.0,690.0,0.98221095,233410.0,112213.0,82155.0,28667.0,8185.0,2190.0,0.955550319,95862.0,34753.0,31399.0,25600.0,3349.0,761.0,0.690075317,187151.0,32430.0,24335.0,30268.0,10948.0,30591.0,52220.0,6359.0,0.826717463,Swindon,"270,000",Swindon,Unitary Authority,"235,657","209,709"
E06000031,84533.0,23516.0,8919.0,14597.0,53359.0,6002.0,25488.0,8246.0,13337.0,3905.0,10319.0,5192.0,4533.0,594.0,10672.0,7368.0,3304.0,878.0,878.0,7658.0,4025.0,3633.0,628.1,84533.0,23516.0,50234.0,2461.0,5267.0,3055.0,0.127559651,207414.0,166028.0,41386.0,14957.0,17027.0,8029.0,1373.0,0.954670369,215673.0,99550.0,77378.0,27730.0,8582.0,2433.0,0.948927311,84533.0,28513.0,26745.0,24147.0,4200.0,928.0,0.653685543,167573.0,37471.0,20666.0,24191.0,9286.0,25727.0,43956.0,6276.0,0.776389991,Peterborough,"240,000",Peterborough,Unitary Authority,"217,705","184,457"
E06000032,78940.0,21068.0,7300.0,13768.0,48499.0,4158.0,25979.0,5948.0,15322.0,4709.0,6663.0,3258.0,2873.0,532.0,10511.0,6490.0,4021.0,1188.0,1188.0,9373.0,5428.0,3945.0,5196.0,78940.0,21068.0,44688.0,3236.0,6048.0,3900.0,0.167012921,215750.0,165995.0,49755.0,17556.0,20225.0,10203.0,1771.0,0.944500579,225261.0,109654.0,77855.0,27073.0,8162.0,2517.0,0.95259277,78940.0,19317.0,21559.0,28456.0,7592.0,2016.0,0.517810996,172698.0,39478.0,19650.0,21943.0,8349.0,24832.0,51546.0,6900.0,0.771404417,Luton,"302,000",Luton,Unitary Authority,"226,973","203,641"
E06000033,78344.0,26102.0,10922.0,15180.0,48025.0,6716.0,21735.0,6981.0,10543.0,4211.0,9644.0,4988.0,3978.0,678.0,9456.0,5901.0,3555.0,474.0,474.0,4217.0,1712.0,2505.0,4335.6,78344.0,26102.0,44583.0,1381.0,4713.0,1565.0,0.097761156,174698.0,164381.0,10317.0,5031.0,3640.0,1419.0,227.0,0.990578026,180686.0,84380.0,62139.0,24096.0,7793.0,2278.0,0.944262422,78344.0,23021.0,26321.0,25698.0,2979.0,325.0,0.629812111,146410.0,28823.0,17593.0,23151.0,7432.0,25291.0,39832.0,4288.0,0.803135032,Southend-on-Sea,"325,000",Southend-on-Sea,Unitary Authority,"180,915","174,274"
E06000034,66375.0,16180.0,6801.0,9379.0,44594.0,4556.0,22046.0,5863.0,11604.0,4579.0,8421.0,3405.0,4270.0,746.0,8991.0,5906.0,3085.0,580.0,580.0,5601.0,3067.0,2534.0,1074.2,66377.0,16180.0,42332.0,1922.0,3862.0,2081.0,0.118489838,168818.0,149725.0,19093.0,8087.0,7862.0,2700.0,444.0,0.981376394,176001.0,89350.0,58689.0,20323.0,5904.0,1735.0,0.956596838,66377.0,18567.0,21545.0,21743.0,3899.0,623.0,0.604305708,136363.0,29443.0,16640.0,21251.0,6757.0,22151.0,35723.0,4398.0,0.784083659,Thurrock,"340,000",Thurrock,Unitary Authority,"176,877","158,268"
